LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Milwaukee, WI","$325,000",Economic And Workforce Development,Workforce Development,Create an entry level building maintenance/ environmental services curriculum and experience that builds toward an Infrastructure Maintenance Apprenticeship; create a defined pathway for individuals that were considered essential workers during COVID for growth and professional opportunities that lead to family sustaining wages., , ,Milwaukee,WI
"Milwaukee, WI","$2,700,000",Economic And Workforce Development,Youth Workforce Development,Clean energy jobs for youths and adults, , ,Milwaukee,WI
"Milwaukee, WI","$400,000",Economic And Workforce Development,Youth Workforce Development,"EMI will fund the development and expansion of Youth Apprenticeships, certified pre-apprenticeships, and Registered Apprenticeships.", , ,Milwaukee,WI
"Milwaukee, WI","$1,200,000",Economic And Workforce Development,Youth Workforce Development,"Opportunities for young men of color to participate in an early childhood residency as working alongside a veteran lead/certified teacher, coupled with a culturally responsive pedagogical approach to drive success among students in early childhood settings. Funded programs will recruit young men (18-24 years) with high school diplomas to participate in paid, 10-month fellowship program in which they are placed in local ECE providers or other community organizations and implement a structured early literacy program. F", , ,Milwaukee,WI
"Milwaukee, WI","$310,000",Economic And Workforce Development,Youth Workforce Development,Provides funding for program capacity developed to allow dual enrollment in high school and Milwaukee Area Technical College (MATC) courses for Milwaukee students. MATC will offer an 18-credit Preschool Technical Diploma delivered through the Dual Enrollment Academy. Dual Enrollment Academies enable students to attend college while still enrolled in high school. Students will attend high school only to complete needed graduation requirements and will then devote the remainder of the day to college coursework., , ,Milwaukee,WI
"Milwaukee, WI","$500,000",Economic And Workforce Development,Youth Workforce Development,"Short-term, industry-recognized, paid training for entry into quality, high demand IT occupations, tailored to the assets and opportunities of the Milwaukee Young Adult Population.", , ,Milwaukee,WI
"Milwaukee, WI","$500,000",Economic And Workforce Development,Youth Workforce Development,Strategy to increase equitable access to pre-apprenticeship and apprenticeship for opportunity youth. Funding supports the creation of new pathways available through traditional high schools or career and technical education spaces, , ,Milwaukee,WI
"Milwaukee, WI","$3,000,000",Economic And Workforce Development,Youth Workforce Development,"Work-based learning opportunities (paid work experience and transitional jobs) for unemployed, low-income adults ages 18-29 residing in the City of Milwaukee to provide an immediate income, skills in a high demand field, and a positive work history.", , ,Milwaukee,WI
"Milwaukee, WI","$1,000,000",Government Operations Investments,Other Government Investment,"Racial equity training deploys a citywide training effort for all City staff, including general city, sworn, and elected officials. It supports building and enhancing skillsets to promote respectful and inclusive delivery of services, and equips City employees with better understanding, engaging, and serving diverse and underserved communities. Additionally, the effort provides training and consultation for the Office of Equity and Inclusion (OEI) to continue to build out the City’s internal infrastructure to advance racial equity.", , ,Milwaukee,WI
"Milwaukee, WI","$600,000",Government Operations Investments,Other Government Investment,"This initiative allocates resources to provide city-wide contracted translation services specifically for the internal translation of City web pages, and health, license, public works, and general government informational bulletins", , ,Milwaukee,WI
"Milwaukee, WI","$3,000,000",Housing,Affordable Housing,Additional code ocmpliance loans for affordable and sustainable housing, , ,Milwaukee,WI
"Milwaukee, WI","$2,000,000",Housing,Affordable Housing,"Assist three WHEDA LIHTC affordable housing projects currently being developed to overcome COVID-19 related challenges such as delayed shipping, supply shortages, and increasing materials cost so they can proceed to closing within 60 days", , ,Milwaukee,WI
"Milwaukee, WI","$1,200,000",Housing,Affordable Housing,"These programs will increase capacity for home buying counseling, including pre-purchase counseling, post purchase counseling, as well as mortgage and tax foreclosure assistance", , ,Milwaukee,WI
"Milwaukee, WI","$1,200,000",Housing,Affordable Housing,"This program will fund two person teams who will clean, repair, and turnover the backlog of vacant HACM units. Reducing the number of vacant units in HACM’s portfolio will improve rental efficiency and reduce the burden on Milwaukee residents waiting for services. In the past, similar HACM programs increased occupancy rates, from 89% a year and a half ago, to a 92% occupancy rate now. The department estimates this program could increase the occupancy rate to 98% or higher.", , ,Milwaukee,WI
"Milwaukee, WI","$15,000,000",Housing,Affordable Housing,"Westlawn revitalization project is a Choice Neighborhood Initiative (CNI) funded project, led by the City of Milwaukee in partnership with the Housing Authority. The project will transform/improve the socio-economic condition of the target area. A major component of this project is the replacement of the existing 394 public housing units with a mixincome affordable housing units. It also involves the replacement of existing site infrastructure; new paved roads, alleys, site lighting, underground utilities – water and sewer systems, and storm management system.", , ,Milwaukee,WI
"Milwaukee, WI","$1,800,000",Housing,Eviction Prevention,"Led by Legal Aid Society in partnership with United Way of Greater Milwaukee/Waukesha County, and in partnership with the Milwaukee County Circuit Court, City of Milwaukee (DCD/HACM), Legal Action, and Milwaukee County. Right to Counsel seeks to reduce and eliminate the use of eviction filings as a tool for rent collection and other unscrupulous management practices. The program will connect eligible tenants with counsel to advocate for them in eviction filings. Right to Counsel will also seek to build on tenant representation to partner with landlords and managers on uniform lease and application forms, pre-eviction mediation, and other management practices to reduce evictions and other actions that create housing crises and connect parties to the Milwaukee Rental Housing Resource Center for shared resources.", , ,Milwaukee,WI
"Milwaukee, WI","$5,000,000",Housing,Other Housing,the project will provide home energy efficiency retrofits to low income families in underserved areas. Marketing and outreach will be used to reach these families as well as mobile resource teams that will be funded from a separate EPA environmental justice grant., , ,Milwaukee,WI
"Milwaukee, WI","$1,200,000",Housing,Other Housing,"The Rental Housing Resource Center (renthelpmke.org) convenes key stakeholders in rental housing, focused on serving moderate- and low-income residents. It provides a one-stop for tenants and landlords to help provide representation, mediation, management advice for landlords, and connections to housing and other financial supports for tenants", , ,Milwaukee,WI
"Milwaukee, WI","$100,000",Infrastructure,Broadband,Broadband feasability study, , ,Milwaukee,WI
"Milwaukee, WI","$6,150,000",Infrastructure,Other Infrastructure,"This project will install various pedestrian safety improvements along 25 miles of the City’s Pedestrian High Injury Network (PHIN), which are among the most dangerous streets for walking in Milwaukee. The safety improvements will focus on reducing motor vehicle speeds and reckless driving, which are primary threats to the safety of people walking. The proposed treatments may include curb extensions, pedestrian refuge islands, raised crosswalks, pedestrian signals, pavement markings, street trees, and green infrastructure.", , ,Milwaukee,WI
"Milwaukee, WI","$2,310,000",Infrastructure,Public Space,"City clean-up and beautification programs in community and neighborhood health. A multifaceted initiative that allocates resources to create a cleaner Milwaukee by leveraging community partners to provide workforce development, public information campaigns, and coordinated private cleanup efforts while investing in a mix of services and equipment to achieve cleaner neighborhoods throughout Milwaukee.", , ,Milwaukee,WI
"Milwaukee, WI","$200,000",Infrastructure,Public Space,"Restoration of the Victory over Violence Park to support economic equity, environmental restoration, and a peaceful response to violence in the community", , ,Milwaukee,WI
"Milwaukee, WI","$10,000,000",Infrastructure,Public Space,Street lighting repair and upgrades, , ,Milwaukee,WI
"Milwaukee, WI","$10,000,000",Public Health,Covid Response,"Funding will support the Milwaukee Health Department, in collaboration with Milwaukee Fire Department and Milwaukee Public Library, to sustain and adapt the City’s COVID-19 pandemic response and deal with outbreaks as they may occur. This includes testing, case investigation, contact tracing, vaccination, isolation facility management, housing support services, site hazard assessments, public information, education campaigns, hotline operations, and supplies critical to long term surveillance and prevention", , ,Milwaukee,WI
"Milwaukee, WI","$2,000,000",Public Safety,Fire Department,"The requested program funds will be used to purchase and equip two ALS ambulances with a service life of 10 years. The Milwaukee EMS system sees over 100,000 annual calls for service, which are distributed across three private ambulance companies and the Milwaukee Fire Department.", , ,Milwaukee,WI
"Milwaukee, WI","$3,000,000",Public Safety,Violence Reduction And Prevention,Violence prevention and interruption expansion in community and neighborhood health, , ,Milwaukee,WI
"Monmouth County, NJ","$10,000,000",Community Aid,Nonprofit Support,"Provide direct funding to non-profit organizations that are focused on food insecurity, mental health issues resulting from the pandemic, and/or veteran’s services.",Negative Economic Impacts,Aid to Nonprofit Organizations,Monmouth County,NJ
"Monmouth County, NJ","$66,800,000",Government Operations Investments,Fiscal Health Recovery,The County calculated revenue loss for 2020 as compared to the base year of 2019 at $16.7 million. The specific government services this will cover will be determined.,Revenue Replacement,Provision of Government Services,Monmouth County,NJ
"Monmouth County, NJ","$6,800,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",Upgrade the HVAC system at the Human Services Building to ensure proper air flow and quality to prevent transmission of COVID-19.,Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Monmouth County,NJ
"Monmouth County, NJ","$5,000,000",Infrastructure,Broadband,Replace and upgrade fiber optic infrastructure to improve connectivity and service throughout the County.,Infrastructure,"Broadband: ""Last Mile"" projects",Monmouth County,NJ
"Monmouth County, NJ","$4,300,000",Infrastructure,Cyber Security,"Cybersecurity upgrades including hardware and software for advanced phishing protection, cyber recovery, firewalls and hardware licensing, and multi-factor authentication.",Infrastructure,Broadband: Other projects,Monmouth County,NJ
"Monmouth County, NJ","$1,500,000",Public Health,Covid Response,Purchase of 2 Emergency Mobile Units to rapidly respond to “Hot Spots” in need of COVID-19 testing and/or vaccinations. Expected to be procured in 2021-2022.,Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Monmouth County,NJ
"Monterey County, CA","$435,800",Community Aid,Direct Payments Or Subsidies,Provide stipend for adult residents with COVID positive test results who are not eligible for income replacement to encourage self-isolation.,Negative Economic Impacts,Other Economic Support,Monterey County,CA
"Monterey County, CA","$350,000",Community Aid,Direct Payments Or Subsidies,Stipends to economically challenged families for the cost of funeral services because of COVID19.,Negative Economic Impacts,Other Economic Support,Monterey County,CA
"Monterey County, CA","$3,881,100",Community Aid,Nutrition And Food Assistance,"The purpose of the new Great Plates Delivered program is twofold: 1) to provide meals to adults 65 and older and adults 60-64 who are at high-risk, as defined by the CDC1 and who are unable to access meals while staying at home and are ineligible for other nutrition programs; and 2) to support local restaurants and other food provider/agricultural workers and to support owners who have closed or are struggling to remain open due to COVID-19 mitigation tactics.",Negative Economic Impacts,Household Assistance: Food Programs,Monterey County,CA
"Monterey County, CA","$707,920",Community Aid,Nutrition And Food Assistance,The Senior Meal Program provides “gap” services to seniors who were not eligible for California’s Great Plates Delivered Program.,Negative Economic Impacts,Household Assistance: Food Programs,Monterey County,CA
"Monterey County, CA","$250,000",Community Aid,Youth And Family Support,"The Salinas Valley Promise program combines instructional excellence with professional guidance, leadership development, life-skills training, and a scholarship to ensure student success.",Negative Economic Impacts,Aid to Nonprofit Organizations,Monterey County,CA
"Monterey County, CA","$1,545,000",Community Aid,Youth And Family Support,"To provide early learning systems and capacity infrastructure, and childcare affordability and accessibility.",Negative Economic Impacts,Other Economic Support,Monterey County,CA
"Monterey County, CA","$75,000",Economic And Workforce Development,Economic Development,Provide support to develop Monterey County's Comprehensive Economic Development Strategy (CEDS) to improve access to funding by coordinating efforts and focusing on priorities to create the environment for regional economic prosperity.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$10,000",Economic And Workforce Development,Economic Development,"To support an inclusive recovery with maximum impact for our region in infrastructure, climate change adaptation, and economic growth to improve the region's economic health and quality of life.",Negative Economic Impacts,Other Economic Support,Monterey County,CA
"Monterey County, CA","$100,000",Economic And Workforce Development,Other Economic And Workforce Development,"To advocate for and intercede with government and regulators on behalf of Monterey County businesses to promote the concept of private-public partnerships focusing on advocacy, workforce development, and economic development.",Negative Economic Impacts,Aid to Nonprofit Organizations,Monterey County,CA
"Monterey County, CA","$2,061,626",Economic And Workforce Development,Small Business Support,"The intent of the award is to stimulate economy and provide economic relief to small business permit holders, by offsetting the fees due to Environmental Health for FY21-22.",Negative Economic Impacts,Small Business Economic Assistance (General),Monterey County,CA
"Monterey County, CA","$900,000",Economic And Workforce Development,Small Business Support,The program provides relief grants to local small businesses that can demonstrate economic hardship due to the COVID-19 crisis.,Negative Economic Impacts,Small Business Economic Assistance (General),Monterey County,CA
"Monterey County, CA","$610,281",Economic And Workforce Development,Tourism And Hospitality,"Provided economic support to organizations that promote tourism within the County to impulse tourism, which is the #2 industry in the County and was severely impacted due to Shelter in Place Orders.",Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Monterey County,CA
"Monterey County, CA","$101,411",Government Operations Investments,Fiscal Health Recovery,Funding to meet obligations that are non-recoverable from State funding.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$98,738",Government Operations Investments,Government Employee Wages Or Hiring,"Advising the County, its officers, and employees on the impact of the pandemic on disadvantage communities.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$112,758",Government Operations Investments,Government Employee Wages Or Hiring,All construction permits that require review related to Special Event and Public Works Transportation are assigned to this position as well as encroachments.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$38,993",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used for sanitation system personnel costs to perform necessary operations & maintenance activities and assure proper function of the system to cover anticipated revenue shortfall.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$108,559",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to hire one Building Maintenance Worker.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$84,301",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to hire one Park Service Aide II.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$90,012",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to hire one Park Service Aide III.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$239,982",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to hire three Park Service Aide I’s.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$103,802",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to offset costs to PWFP’s Administration unit for Salary & Benefits due to lack of funding.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$219,125",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to offset costs to PWFP’s Facilities unit for Salary & Benefits due to lack of funding.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$153,309",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to offset costs to PWFP’s Parks Operations unit for Salary & Benefits due to lack of funding.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$22,034",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to offset costs to PWFP’s Stormwater & Floodplain unit for Salary & Benefits due to lack of funding.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$74,271",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Account Clerk due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$109,192",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Accounting Clerical Supervisor due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$144,129",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Administrative Services Assistant due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$88,576",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Groundskeeper position due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$95,029",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Guard due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$144,129",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Management Analyst II due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$91,122",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Parks Building & Grounds Worker II due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$85,382",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Parks Museum Assistant due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$132,606",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Parks Planning Manager due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$79,751",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Parks Utility & Water System Specialist due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$82,143",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Secretary due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$128,909",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Senior Parks Utility & Water Specialist due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$89,216",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore one Water Resources Technician due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$170,214",Government Operations Investments,Government Employee Wages Or Hiring,ARPA funds will be used to restore two Office Maintenance Workers due to loss revenue.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$432,360",Government Operations Investments,Government Employee Wages Or Hiring,Associate Planner positions meet the mission and goals of the department of housing and Community Development (HCD) and the County in general due to case workload vs. staffing resources.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$257,417",Government Operations Investments,Government Employee Wages Or Hiring,"Due to loss of revenue, the department had insufficient funding for nine positions.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$12,600",Government Operations Investments,Government Employee Wages Or Hiring,Funding allows the department to pay for partial salaries and benefits of a full-time secretary.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$165,167",Government Operations Investments,Government Employee Wages Or Hiring,Restoring the Senior Personnel Analyst to support the day-to-day operations of the employee relations division.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$2,973,672",Government Operations Investments,Government Employee Wages Or Hiring,"Staff was redirected to Covid respond efforts by working in vaccinations clinics, contract tracing and case investigations.",Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Monterey County,CA
"Monterey County, CA","$98,000",Government Operations Investments,Government Employee Wages Or Hiring,"Temporary staff working on COVID response efforts, including case investigation and contract tracking.",Public Health,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Monterey County,CA
"Monterey County, CA","$127,200",Government Operations Investments,Government Employee Wages Or Hiring,The Accountant Auditor II position is responsible for the reconciliation and payment of County’s Health Insurance to CalPERS among other payroll duties.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$310,182",Government Operations Investments,Government Employee Wages Or Hiring,"The classification and compensation unit needed additional staff to research, analyze, and respond to the provisions to avoid grievances.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$1,555,079",Government Operations Investments,Government Employee Wages Or Hiring,The Department of Social Services provides front line staff for the alternate Care and shelter sites for the pandemic response in addition to the support staff for the Department of Emergency Services.,Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Monterey County,CA
"Monterey County, CA","$152,568",Government Operations Investments,Government Employee Wages Or Hiring,"The Emergency Services Planner supports the Emergency Operations Center (EOC) to assist in the planning, coordination, development, and promotion of emergency services in the Operation Area's communities and jurisdictions.",Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Monterey County,CA
"Monterey County, CA","$48,000",Government Operations Investments,Government Employee Wages Or Hiring,"The Office of the District Attorney utilizes temporary employees to fill a variety of roles throughout the fiscal year, including relieving existing staff who are temporarily away from work, for occasions such as pregnancy leave, specialized duties such as document scanning and when vacancies occur to assist our staff to maintain the necessary levels of service.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$200,000",Government Operations Investments,Government Employee Wages Or Hiring,The on-call services will reduce the back log allowing the construction of homes and businesses that would generate housing and jobs.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$144,399",Government Operations Investments,Government Employee Wages Or Hiring,The position Senior Building Inspector is vital in the timely performance of building inspections.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$16,000",Government Operations Investments,Government Employee Wages Or Hiring,These funds will allow the Civil Rights Office to engage outside consultant services to perform specialized data analysis.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$257,224",Government Operations Investments,Government Employee Wages Or Hiring,"These positions are unfilled in the current reporting period, but the funds are being used to backfill overtime so that the Center remains fully staffed.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$116,525",Government Operations Investments,Government Employee Wages Or Hiring,"This position is the direct point of contact at the front counter, telephone, and email.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$153,625",Government Operations Investments,Government Employee Wages Or Hiring,This position services as subject matter resource specialist to other Planners in addition to performing the most difficult planning assignments under minimal instruction.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$155,091",Government Operations Investments,Government Employee Wages Or Hiring,This project funded the restoration of the Associate Personnel Analyst position in the classification and compensation unit.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$504,002",Government Operations Investments,Government Employee Wages Or Hiring,This provides funding for experienced attorneys in the juvenile and conservatorship courts.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$218,460",Government Operations Investments,Government Employee Wages Or Hiring,To provide for coordination and implementation of the projects associated with Sanitation Districts and County Service Areas.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$7,500",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","After three years of use, the case management system is at a point where it contains some information that will allow the Civil Rights Office to analyze data to deploy limited County resources to prevent instances of harassment and discrimination, where patterns are identified.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$40,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","ARPA funding will be used for the services and subscription for LeaseQuery, a lease accounting software which is being used to implement and assist the County with ongoing mandated Monterey County 2021 Recovery Plan Performance Report 27 financial reporting compliance of GASB 87-Leases.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$30,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","ARPA funds are providing for a portion of the resources needed to continue reviewing, scanning, and destroying these old legal documents.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$15,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","As an ever-expanding and evolving area of law, this funding will allow staff to keep current with changes in civil rights and equal opportunity laws and proper training and investigation techniques to better support the functions of training, equal opportunity, and processing of Title VI and Title VI complaints.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$8,756",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",Funding of supplies for the Civil Grand jury will also be provided with ARPA funds for them to perform constitutionally mandated duties.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$62,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",It is critical to upgrade the [video surveillance] system to the Windows 10 platform to maintain security of County employees and customers.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$180,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",Replace the HVAC in the Public Health Laboratory which is not working properly and is a facility that responds to Covid-19 health emergency.,Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Monterey County,CA
"Monterey County, CA","$50,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Support County media communications, media buys, and equipment to improve public satisfaction and message effectively to the Spanish-speaking community of Monterey County.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$145,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","The County is negotiating an agreement with HouseKeys, Inc., to digitize nearly 40 years of housing inventory that will include information such as housing agreements, interest rates and program guidelines.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$15,500",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","The funding will help the Civil Rights Office obtain access to online module to train over 5,000 employees every two years.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$50,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",The Live Wall is a series of computers and monitors that provides 9' X 6' visual information to the Emergency Operations Center (EOC).,Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Monterey County,CA
"Monterey County, CA","$129,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",The Office of the District Attorney has many expenses throughout the fiscal year in direct support the of prosecution of those accused of crimes against our citizens.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$30,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","These funds will be utilized to maintain the existing fleet with the most modern and economical vehicles possible, to serve the citizens of our county.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$5,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",This funding allows the Civil Rights Office to contract with certified American Sign Language and other spoken language interpreters to provide interpretation for the public.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$10,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",This funding will allow the Civil Rights Office to train a greater number of employees on Title VI and Title VII of the Civil Rights Act.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$165,167",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","This position will provide Spanish language translation, social media content, and other messaging content as part of the County's Communications and Public Relations team to enhance the ability to message to the Spanish speaking community, rapid turnaround for translation of messaging into Spanish.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$165,167",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",To support the County Administrative Office’s provision and coordination of government services countywide.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$147,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",To support the Sustainability Program's Climate Action Plan and CEQA analysis.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$734,934",Government Operations Investments,Other Government Investment,ARPA funds will be used for Unscheduled Maintenance for corrective or emergency issues and maintenance of County buildings that cannot be foreseen.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$120,000",Government Operations Investments,Other Government Investment,ARPA funds will be used to mitigate fire hazards due to excessive weed and tree growth.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$222,353",Government Operations Investments,Other Government Investment,Funding will allow for several agricultural education opportunities to educate the public on agricultural industry.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$60,000",Government Operations Investments,Other Government Investment,Mitigation efforts to reduce the amount of fire fuel consist of weed management using mowers and weed cutting tools in addition to the use of goats to eat the vegetation.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$200,000",Housing,Affordable Housing,The Local Housing Trust Fund is advancing affordable housing development.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$2,135,342",Housing,Homelessness,"The purpose of Project Roomkey is to provide non-congregate shelter options for people experiencing homelessness, protect human life, and minimize strain on health care system capacity.",Public Health,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Monterey County,CA
"Monterey County, CA","$168,000",Housing,Other Housing,"Housing costs for local community youth detained at the State’s Division of Juvenile Justice (DJJ), within the Department of Corrections and Rehabilitation are a result of local County youth ordered by the Superior Court to be detained in a State juvenile facility as disposition for certain very serious crimes.",Revenue Replacement,Provision of Government Services,Monterey County,CA
